"Ingredient","Class","Enabled development regimens","Legacy reference records","Source candidates","Registration review","Clinical sign-off"
"Aciclovir","Antiviral","0","3","CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Albendazole","Antiparasitic","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Amoxicillin","Antibacterial","4","4","RCH · Antimicrobial guidelines; PCH · Amoxicillin; CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Amoxicillin + clavulanic acid","Antibacterial","0","6","CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Azithromycin","Antibacterial","3","6","RCH · Whooping cough; CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Cefaclor","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Cefalexin (cephalexin)","Antibacterial","2","4","RCH · Antimicrobial guidelines; CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Cefuroxime","Antibacterial","0","0","PCH · Cefuroxime; PCH · ChAMP resource collection","PCH identifies tablets as registered and liquid as SAS. Current product status requires checking.","Pending"
"Ciprofloxacin","Antibacterial","0","6","CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Clarithromycin","Antibacterial","1","0","RCH · Whooping cough; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Clindamycin","Antibacterial","0","1","CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Clofazimine","TB / specialist","0","0","WHO · Childhood tuberculosis; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
